name,lon,lat,building_height_m,required_height_m,spare_m,distance_km
Colombo Lotus Tower,79.85831,6.92703,356.0,4.8,351.2,72.0
,79.85276,6.89937,219.0,4.4,214.6,72.2
,79.85838,6.91969,195.0,1.7,193.3,71.9
,79.85816,6.91925,195.0,2.7,192.3,71.9
,79.85792,6.91881,195.0,2.8,192.2,71.9
Clearpoint Residencies,79.90489,6.91151,185.0,8.3,176.7,66.7
447 Luna Tower,79.86213,6.91885,170.0,3.2,166.8,71.5
Capitol TwinPeaks B,79.85466,6.91975,160.0,2.0,158.0,72.3
The Residence at Cinnamon Life,79.84823,6.92631,154.0,1.9,152.1,73.1
Astoria A,79.85313,6.90593,146.0,3.5,142.5,72.2
Fairway Elements,79.90645,6.91028,150.0,9.2,140.8,66.5
On320 Apartments,79.85916,6.91921,140.0,5.4,134.6,71.8
Access Tower II,79.85728,6.9198,112.0,2.5,109.5,72.0
The Emperor,79.84776,6.91851,110.0,3.2,106.8,73.0
Havelock City Edmonton Tower,79.86607,6.88101,96.0,2.8,93.2,70.5
Seylan Bank,79.84741,6.91724,85.0,2.1,82.9,73.0
,79.85318,6.89948,80.0,3.6,76.4,72.1
Hatton National Bank,79.86254,6.92075,73.6,3.9,69.7,71.5
Legacy Health LLC,79.85381,6.92035,65.0,2.8,62.2,72.4
,79.91731,6.90313,64.0,3.1,60.9,65.2
Seylan Developments PLC - Apartments Tower,79.84693,6.91723,60.0,2.5,57.5,73.1
475 Union Pl,79.86273,6.91856,60.0,2.7,57.3,71.4
,79.84375,7.26911,57.6,2.9,54.7,88.5
gemma house,79.89345,6.87248,54.4,4.2,50.2,67.3
,79.84705,6.91828,50.0,2.3,47.7,73.1
,79.88264,6.93906,48.0,2.1,45.9,69.7
Serene Apartment,79.86253,6.85107,54.4,8.8,45.6,70.5
,79.86544,6.95587,48.0,4.9,43.1,71.9
Lak,80.05281,6.71559,45.0,2.1,42.9,50.5
,79.86349,6.84125,48.0,5.2,42.8,70.4
,79.87969,6.8945,44.8,3.6,41.2,69.1
Saint Michaels Apartment,79.8542,6.8989,44.8,4.0,40.8,72.0
,80.48548,5.93774,41.6,2.2,39.4,96.4
Prime Residencies Castle Street,79.88606,6.9107,41.6,2.4,39.2,68.7
,79.92755,6.90226,44.8,5.7,39.1,64.0
,79.87943,6.89448,41.6,2.8,38.8,69.2
Sampath Bank,80.0628,6.71735,51.2,12.8,38.4,49.3
,80.24827,6.03927,48.0,10.2,37.8,89.6
Colombo City Center,79.85542,6.9176,40.0,3.2,36.8,72.2
,79.87434,6.96731,38.4,1.8,36.6,71.3
,79.87984,6.89456,41.6,5.2,36.4,69.1
,79.87367,6.96709,38.4,2.1,36.3,71.3
,79.86164,6.91996,38.4,2.6,35.8,71.5
,79.89387,6.9276,38.4,2.7,35.7,68.2
,79.89387,6.92788,38.4,3.2,35.2,68.2
,79.97755,7.03278,38.4,3.4,35.0,62.7
Prime Residencies Battaramulla Libra,79.92795,6.90426,35.2,1.9,33.3,64.0
,80.01163,7.04082,35.2,2.0,33.2,59.7
Seylan Towers,79.84298,6.9333,38.4,5.6,32.8,73.8
,79.84932,6.92333,35.0,2.3,32.7,72.9
Barberyn Lighthouse,79.96831,6.46339,34.0,1.8,32.2,70.1
,79.99668,7.08599,35.2,4.4,30.8,63.4
,79.89424,6.92837,38.4,7.7,30.7,68.2
,79.8522,6.90146,32.0,1.7,30.3,72.3
,79.86022,6.91526,32.0,1.8,30.2,71.6
,80.24926,6.03884,48.0,17.8,30.2,89.6
,79.84228,6.93348,32.0,1.9,30.1,73.9
Sri Lanka Telecom,79.84606,6.9345,32.0,2.0,30.0,73.5
,79.86247,6.86399,32.0,2.1,29.9,70.7
Dental Ward (Colombo National Hospital),79.86604,6.91736,32.0,2.3,29.7,71.0
,79.84814,6.93552,32.0,2.3,29.7,73.3
,79.84998,6.93476,32.0,2.7,29.3,73.1
Freedom Palace hotel,80.41491,8.32762,45.0,15.9,29.1,168.1
,79.85871,6.87899,32.0,2.9,29.1,71.2
,79.85388,6.89882,32.0,3.1,28.9,72.0
,79.86768,6.91774,32.0,3.2,28.8,70.8
,79.93693,6.89066,32.0,3.4,28.6,62.8
,79.92687,6.9026,32.0,3.7,28.3,64.1
,79.85721,6.93307,32.0,3.9,28.1,72.3
,79.93632,6.89018,32.0,4.7,27.3,62.9
,79.93695,6.89197,32.0,4.9,27.1,62.8
,79.85811,6.87705,28.8,1.8,27.0,71.3
,79.84193,6.93298,28.8,2.0,26.8,73.9
,79.93581,6.89138,32.0,5.4,26.6,63.0
,79.8616,6.92067,28.8,2.3,26.5,71.6
,80.03795,6.82097,32.0,5.7,26.3,51.0
Old Colombo Lighthouse;Chatham Street Clock Tower,79.84282,6.93473,29.0,2.9,26.1,73.9
,80.03799,6.82123,32.0,6.0,26.0,51.0
Suncity Apartments,79.85179,6.90691,32.0,6.8,25.2,72.4
,79.86431,6.83575,28.8,3.8,25.0,70.3
,79.85226,6.90707,25.6,1.7,23.9,72.3
Good Hope Residencies,79.84958,6.9099,25.6,2.0,23.6,72.7
,79.86448,6.83528,25.6,2.5,23.1,70.2
Fairway Colombo,79.84389,6.93414,25.6,2.8,22.8,73.8
Galle Clock Tower,80.21508,6.03003,25.3,2.5,22.8,91.7
,79.93752,6.89072,32.0,9.9,22.1,62.8
,79.93605,6.89073,32.0,10.0,22.0,62.9
Blue Ocean Apartments,79.86346,6.842,25.6,4.0,21.6,70.4
,80.14518,6.08667,35.2,13.7,21.5,89.0
Ceylinco Insurance,79.84298,6.93368,25.6,4.6,21.0,73.8
,79.93725,6.8913,32.0,11.1,20.9,62.8
New Wards & Theoter,80.00013,7.0914,22.4,2.3,20.1,63.4
,79.86376,6.83981,25.6,5.5,20.1,70.3
,79.84314,6.93495,22.4,2.8,19.6,73.9
CDI Apartments,79.86442,6.8752,22.4,3.1,19.3,70.6
SANASA HOUSING COMPLEX,80.00619,7.0888,22.4,3.2,19.2,62.7
Sanasa Housing Complex,80.01091,7.08702,22.4,3.6,18.8,62.1
,80.04371,7.1045,22.4,3.8,18.6,60.0
,80.21476,6.03008,25.5,7.8,17.7,91.8
,79.87849,6.88221,19.2,1.7,17.5,69.1
Bour Building,79.84188,6.93519,19.2,1.7,17.5,74.0
House of Fashion,79.87795,6.91042,22.4,5.0,17.4,69.6
,80.00049,7.09066,19.2,2.3,16.9,63.3
,80.03979,6.82214,19.2,2.4,16.8,50.8
Public Health Complex,79.87742,6.89085,19.2,2.9,16.3,69.3
Naturals,79.93431,6.88238,19.2,3.3,15.9,63.0
,80.60461,7.06962,75.0,59.4,15.6,31.0
Laboratories Building,80.04286,6.82134,24.0,8.7,15.3,50.5
,80.45569,5.94785,32.0,17.3,14.7,95.4
National Transport Medical Institute,79.88946,6.86922,16.0,1.7,14.3,67.7
,79.86494,6.83994,22.4,8.2,14.2,70.2
,79.85423,6.92119,16.0,2.0,14.0,72.4
,79.91049,6.85642,16.0,2.1,13.9,65.3
F Block,79.92295,6.92655,16.0,2.2,13.8,65.0
e-Library,80.59654,7.2552,19.2,5.5,13.7,50.4
,80.2671,5.99962,28.8,15.2,13.6,93.2
,80.04133,7.09876,16.0,2.6,13.4,59.9
,79.91793,6.90296,16.0,2.9,13.1,65.1
,80.03921,6.82001,16.0,3.0,13.0,50.9
,80.03925,6.81992,16.0,3.0,13.0,50.9
,80.03881,6.82122,16.0,3.2,12.8,50.9
Uvin Higher Educational Institute,80.06364,6.71735,16.0,3.3,12.7,49.2
,80.10097,6.13149,16.0,3.5,12.5,87.0
E Block,79.92351,6.9263,16.0,4.1,11.9,65.0
,80.03901,6.82105,16.0,4.1,11.9,50.9
ranjith chemical building,80.84598,6.32091,15.0,3.5,11.5,66.2
,79.84825,6.91234,16.0,4.8,11.2,72.9
Faculty of Commerce & Management Studies,79.91547,6.97632,16.0,4.9,11.1,67.1
,80.03899,6.82025,12.8,1.7,11.1,50.9
,79.90493,6.91025,16.0,4.9,11.1,66.6
,79.89346,6.91974,15.0,3.9,11.1,68.1
,79.93403,6.8808,19.2,8.3,10.9,63.0
Lecture Halls Building,80.04268,6.82173,12.8,2.0,10.8,50.5
,79.99109,7.08842,12.8,2.1,10.7,64.1
Palm Beach Hotel,79.86496,6.8362,16.0,5.3,10.7,70.2
Galle book shop,80.06286,6.71552,20.0,9.3,10.7,49.4
Torrington Avenue Housing Scheme,79.8718,6.89534,12.8,2.3,10.5,70.0
Torrington Avenue Housing Scheme,79.87206,6.8955,12.8,2.3,10.5,70.0
North Central Provincial Council,80.41474,8.33431,19.2,8.7,10.5,168.9
,79.99377,7.09442,12.8,2.3,10.5,64.2
,80.05096,7.10831,12.8,2.3,10.5,59.6
raja rice mill,80.30419,7.82995,14.0,3.5,10.5,114.9
,80.01335,7.09268,12.8,2.4,10.4,62.2
,80.03409,7.08705,12.8,2.4,10.4,59.9
,80.06353,6.71583,17.0,6.6,10.4,49.3
,79.99028,7.03401,12.8,2.5,10.3,61.5
Pan Asia Bank,79.8907,7.08348,12.8,2.5,10.3,73.8
,79.89735,6.87433,12.8,2.5,10.3,66.9
,79.96087,7.06695,12.8,2.6,10.2,66.0
,80.03906,6.82061,12.8,2.7,10.1,50.9
,79.90093,7.08204,12.8,2.8,10.0,72.7
White Elephant Villa,79.98274,6.45657,12.0,2.0,10.0,69.2
Apartment,80.037,7.15927,15.0,5.2,9.8,64.1
Asian Grammar School,80.51522,5.94571,12.8,3.0,9.8,95.5
,80.01557,7.0724,12.8,3.1,9.7,60.9
Rangmagapaya,79.92196,6.90387,12.8,3.1,9.7,64.7
,79.97931,7.03667,12.8,3.2,9.6,62.7
,80.03876,6.82101,16.0,6.4,9.6,50.9
,80.00058,7.0867,12.8,3.4,9.4,63.1
,79.84801,6.92911,12.8,3.4,9.4,73.2
Esoft computer studies Ja ela,79.89083,7.08308,12.8,3.5,9.3,73.7
Janaka Ranawaka Pavillon,79.89385,6.91976,15.0,5.7,9.3,68.0
BETH's By Muditha Kumarasinghe,80.06106,7.1172,12.0,2.9,9.1,59.2
Bank of Ceylon,79.84295,6.93254,12.8,3.9,8.9,73.8
,80.34002,6.92738,12.0,3.3,8.7,21.9
,80.26694,5.99938,25.6,17.0,8.6,93.2
,80.60461,7.06962,68.0,59.4,8.6,31.0
Kandy Tex Pvt,79.95159,7.00161,12.8,4.6,8.2,64.2
,79.89074,7.082,16.0,7.8,8.2,73.7
farmacy building,80.8415,6.31588,12.0,3.8,8.2,66.4
,80.74635,6.94111,10.0,2.0,8.0,30.9
Chill Hill Hikkaduwa,80.10659,6.13895,10.0,2.0,8.0,85.9
,79.9808,7.03168,9.6,1.7,7.9,62.4
,79.96085,7.06681,9.6,1.7,7.9,66.0
,80.00298,7.08574,9.6,1.8,7.8,62.8
,80.02801,7.08595,9.6,1.8,7.8,60.4
Guruge Hotel,80.01588,7.07338,9.6,1.8,7.8,60.9
,80.04795,7.10902,9.6,1.8,7.8,59.9
,80.04042,7.09545,9.6,1.8,7.8,59.8
Kamburawala metal store,79.96261,6.57781,9.6,1.8,7.8,64.6
,79.96252,6.57796,9.6,1.8,7.8,64.6
,80.08439,6.8108,20.0,12.2,7.8,45.9
,80.00694,7.0893,9.6,1.9,7.7,62.6
,80.01248,7.08753,9.6,1.9,7.7,62.0
,80.009,7.09205,9.6,1.9,7.7,62.6
Villa Riverside,79.99489,6.4358,9.6,1.9,7.7,69.4
,79.89813,6.87391,9.6,1.9,7.7,66.8
,79.85323,6.90577,9.6,1.9,7.7,72.2
Miscellaneous Services Cooperative Society,80.06327,6.71759,16.0,8.3,7.7,49.3
,79.94864,6.61082,9.6,2.0,7.6,64.7
,79.96128,7.06713,9.6,2.0,7.6,65.9
,80.04652,7.10773,9.6,2.0,7.6,59.9
,79.96301,7.04495,9.6,2.0,7.6,64.7
,79.99302,7.08595,9.6,2.0,7.6,63.8
,79.89356,7.06366,9.6,2.0,7.6,72.6
,79.89337,7.08305,9.6,2.0,7.6,73.5
,80.00453,7.08782,9.6,2.0,7.6,62.8
,79.88146,7.13169,9.6,2.0,7.6,77.0
Aaranya,80.59135,7.2664,9.6,2.0,7.6,51.5
,79.80161,7.64166,9.6,2.0,7.6,120.0
,80.03878,6.82012,12.8,5.2,7.6,50.9
,79.93308,6.66148,11.0,3.4,7.6,64.7
,80.00095,7.0905,9.6,2.1,7.5,63.2
,79.99031,7.0345,9.6,2.1,7.5,61.5
,79.99461,7.03249,9.6,2.1,7.5,61.0
The Capital Maharaja Organization Limited,79.8626,6.91891,9.6,2.1,7.5,71.4
,79.89092,7.09955,9.6,2.1,7.5,74.5
Amber House Lanka,79.9958,6.43366,9.6,2.1,7.5,69.5
,80.00016,7.09073,9.6,2.2,7.4,63.3
,80.01324,7.08811,9.6,2.2,7.4,61.9
,80.01908,7.08207,9.6,2.2,7.4,61.0
,79.98558,7.04731,9.6,2.2,7.4,62.6
Sanasa Vidu Piyasa,80.00485,7.06869,9.6,2.2,7.4,61.7
,79.94451,7.06732,9.6,2.2,7.4,67.6
,80.0366,7.09188,9.6,2.2,7.4,59.9
,79.89349,7.06404,9.6,2.2,7.4,72.6
,80.10348,6.12888,9.6,2.2,7.4,87.1
Shopping Complex,80.05495,6.23914,10.0,2.6,7.4,80.0
Serendib communication,80.06338,6.71658,12.0,4.6,7.4,49.3
Commerse Section,79.87562,6.92356,9.6,2.2,7.4,70.1
,79.96254,7.06234,9.6,2.3,7.3,65.6
,80.04825,7.10842,9.6,2.3,7.3,59.8
,80.00803,7.08887,9.6,2.3,7.3,62.5
,80.02763,7.08529,9.6,2.3,7.3,60.4
,79.92496,7.02918,9.6,2.3,7.3,68.0
