name,place,lon,lat,distance_km,bearing_to_summit_deg,required_height_m,visibility,angular_height_deg,sunrise_align_1,sunrise_align_2
Nallathanniya,town,80.5226,6.82551,3.1,235.3,-9.9,ground level,16.694,,
Palabaddala,village,80.45376,6.78637,5.7,63.2,826.4,never,,,
Gartmore Estate,village,80.55191,6.79787,5.9,282.5,-4.5,ground level,8.352,,
Magilikanda,village,80.47631,6.76123,5.9,25.7,556.4,never,,,
Maussakele,village,80.55165,6.84733,7.1,234.0,21.6,<=30 m (10 storeys),,,
Rathganga,village,80.48251,6.73964,7.9,13.7,659.2,never,,,
Mocha,village,80.57047,6.80362,7.9,274.7,13.8,<=30 m (10 storeys),,,
Hapugastenne,village,80.5279,6.87918,8.3,202.2,34.4,<=60 m (20 storeys),,,
Maskeliya,town,80.57203,6.83387,8.5,251.4,-10.1,ground level,6.48,,
Hapugasthenna State,village,80.52542,6.73338,8.9,341.2,392.8,never,,,
Brunswick Estate,village,80.58282,6.81846,9.3,263.9,-2.1,ground level,5.717,,
Wewelketiya,village,80.50242,6.72366,9.5,358.0,397.6,never,,,
Kuda Maskeliya,village,80.57926,6.84587,9.7,245.5,12.9,<=30 m (10 storeys),,,
Castlereigh,village,80.56477,6.87277,10.1,225.9,183.3,never,,,
Gileemale,village,80.43005,6.74845,10.2,48.7,501.2,never,,,
Koththallena,village,80.485,6.90983,11.2,171.9,552.0,never,,,
Gallealla,village,80.48188,6.70884,11.3,9.9,196.8,never,,,
Amunuthenna,village,80.52039,6.7098,11.3,348.2,564.8,never,,,
Strathspey State,village,80.59808,6.77939,11.4,287.0,484.3,never,,,
Galabada,village,80.46473,6.71177,11.5,19.6,276.2,never,,,
Kiriwan Eliya,village,80.5029,6.91449,11.6,181.9,264.8,never,,,
Stockholm State,village,80.60445,6.81919,11.7,264.7,-3.4,ground level,4.094,,
Wanarajah,village,80.5907,6.86421,11.8,239.0,140.4,<=150 m (50 storeys),,,
Norton Bridge,village,80.52066,6.91536,11.9,191.4,275.7,never,,,
Banagoda,village,80.50377,6.69569,12.6,357.9,349.5,never,,,
Udakanda,village,80.586,6.73313,12.8,311.4,456.4,never,,,
Norwood,town,80.61222,6.83893,12.9,255.4,222.7,never,,,
Laxapana,village,80.48565,6.92562,12.9,173.3,643.5,never,,,
Wewelwatte,village,80.55615,6.70656,13.0,331.2,705.3,never,,,
Yatiwala,village,80.39323,6.86075,13.0,115.8,55.7,<=60 m (20 storeys),,,
Maliboda,village,80.41341,6.89114,13.1,133.6,84.6,<=100 m (33 storeys),,,
Hangarapitiya,village,80.47243,6.9253,13.2,166.9,572.7,never,,,
,village,80.61492,6.84055,13.2,254.9,179.2,never,,,
Sudagala,village,80.37921,6.80104,13.3,86.0,430.7,never,,,
Malwala,village,80.43346,6.70728,13.4,32.9,18.4,<=30 m (10 storeys),,,
